iter	RMSE
593	1.740603881
594	1.740509506
595	1.740415026
596	1.74032067
597	1.740226444
598	1.740087485
599	1.739993452
600	1.739899377
601	1.739805551
602	1.73971171
603	1.739618028
604	1.739524343
605	1.739430731
606	1.73933718
607	1.73924366
608	1.739150151
609	1.739056808
610	1.738963627
611	1.738870441
612	1.738777095
613	1.738683902
614	1.738590677
615	1.738497637
616	1.738404532
617	1.738311618
618	1.738221481
619	1.738128743
620	1.738036105
621	1.737943493
622	1.737850947
623	1.737758512
624	1.737666046
625	1.737573728
626	1.73748146
627	1.737389306
628	1.737297172
629	1.73720518
630	1.737113206
631	1.737021347
632	1.736929549
633	1.736837839
634	1.736746235
635	1.736654715
636	1.73656321
637	1.736062946
638	1.735971154
639	1.735879677
640	1.735788314
641	1.735696974
642	1.735605634
643	1.735514455
644	1.735423264
645	1.735332295
646	1.735241165
647	1.735150321
648	1.735059377
649	1.734968631
650	1.734877789
651	1.734787105
652	1.73469647
653	1.73460593
654	1.734515302
655	1.734424745
656	1.733866593
657	1.733775814
658	1.733685272
659	1.733594896
660	1.733504644
661	1.733414417
662	1.733324196
663	1.733234191
664	1.733144168
665	1.733054049
666	1.732963996
667	1.732874028
668	1.732784164
669	1.732694493
670	1.732612319
671	1.732522758
672	1.732433143
673	1.732343744
674	1.732254403
675	1.73216515
676	1.732075813
677	1.731986763
678	1.731897787
679	1.731808894
680	1.731719972
681	1.731630832
682	1.731541795
683	1.731452841
684	1.730905769
685	1.730817056
686	1.730728294
687	1.730639799
688	1.730551357
689	1.73046263
690	1.729780216
691	1.729691712
692	1.729603355
693	1.729515012
694	1.729426699
695	1.729338323
696	1.729250035
697	1.729161697
698	1.729073516
699	1.728584613
700	1.728496451
701	1.728364339
702	1.728276219
703	1.728188228
704	1.728100201
705	1.728012299
706	1.727924303
707	1.727305425
708	1.727217419
709	1.727129531
710	1.727041781
711	1.726954144
712	1.726866435
713	1.72677888
714	1.726691338
715	1.726604057
716	1.726516583
717	1.726429174
718	1.72634198
719	1.726254901
720	1.726167699
721	1.726080693
722	1.725993818
723	1.725906709
724	1.725819912
725	1.725733089
726	1.725646412
727	1.725559814
728	1.725473281
729	1.725386969
730	1.725300595
731	1.724830503
732	1.724744013
733	1.724657801
734	1.724571635
735	1.724485202
736	1.724398818
737	1.724312298
738	1.724225911
739	1.724139903
740	1.724059545
741	1.723973783
742	1.723887621
743	1.723801533
744	1.723715507
745	1.723629585
746	1.723546447
747	1.723460637
748	1.723375076
749	1.723289578
750	1.723204122
751	1.723118886
752	1.723033612
753	1.722948066
754	1.722862555
755	1.722777536
756	1.722692106
757	1.722606918
758	1.7225216
759	1.722436726
760	1.72235144
761	1.722266617
762	1.722181593
763	1.722096471
764	1.722011429
765	1.721926766
766	1.72184201
767	1.721757547
768	1.721672723
769	1.721587962
770	1.721503285
771	1.721418958
772	1.721334372
773	1.721249999
774	1.721165526
775	1.721081439
776	1.720997333
777	1.720363602
778	1.72028282
779	1.720198491
780	1.720114205
781	1.720029996
782	1.719945837
783	1.719861919
784	1.719780914
785	1.719696994
786	1.719613124
787	1.719529422
788	1.719445775
789	1.71936215
790	1.719278607
791	1.719197098
792	1.71911363
793	1.719030218
794	1.718946787
795	1.718863467
796	1.718780122
797	1.718654297
798	1.718571084
799	1.718487698
800	1.718404583
801	1.718321302
802	1.71823824
803	1.718155177
804	1.718072297
805	1.717989395
806	1.717906395
807	1.717823453
808	1.717263266
809	1.717180139
810	1.717097007
811	1.717014349
812	1.716931531
813	1.71685316
814	1.716770279
815	1.716687616
816	1.716605238
817	1.716522496
818	1.716439826
819	1.716357205
820	1.71627495
821	1.716192443
822	1.716109971
823	1.716027822
824	1.715945676
825	1.715863475
826	1.71578116
827	1.715699071
828	1.715616899
829	1.715536788
830	1.715454661
831	1.715372622
832	1.715292985
833	1.715211083
834	1.715129339
835	1.715047622
836	1.714966025
837	1.714884348
838	1.714802815
839	1.714721128
840	1.714639707
841	1.714558263
842	1.714476768
843	1.714395418
844	1.714314041
845	1.714232817
846	1.714151642
847	1.713478994
848	1.713397517
849	1.71327728
850	1.713195938
851	1.713114821
852	1.71303374
853	1.712952652
854	1.712871701
855	1.712790796
856	1.712709775
857	1.712628934
858	1.712548142
859	1.712467368
860	1.712386549
861	1.712305773
862	1.712225085
863	1.712144479
864	1.712063714
865	1.711982983
866	1.711902381
867	1.711372865
868	1.711292204
869	1.711211493
870	1.711131007
871	1.711050523
872	1.710970079
873	1.710889705
874	1.71081297
875	1.710735155
876	1.710654957
877	1.710574807
878	1.710494525
879	1.7104144
880	1.710334295
881	1.710254157
882	1.710174235
883	1.71009435
884	1.710016464
885	1.709939533
886	1.70985972
887	1.709779791
888	1.709699891
889	1.709620157
890	1.709540536
891	1.709460758
892	1.709381204
893	1.70930162
894	1.709223935
895	1.709144512
896	1.709065151
897	1.708985893
898	1.708906707
899	1.708827559
900	1.708748488
901	1.708673763
902	1.708076243
903	1.707996689
904	1.707917663
905	1.707838347
906	1.707759105
907	1.707205404
908	1.70712589
909	1.707046665
910	1.706967625
911	1.706888658
912	1.706809829
913	1.706730936
914	1.706652172
915	1.706573396
916	1.706494565
917	1.706415834
918	1.706337132
919	1.706258527
920	1.706179927
921	1.706101155
922	1.706022628
923	1.705944228
924	1.705865529
925	1.705787206
926	1.705708928
927	1.70563046
928	1.705552029
929	1.705473939
930	1.705395465
931	1.705317059
932	1.705238719
933	1.705163751
934	1.705085625
935	1.705007419
936	1.704929495
937	1.704813049
938	1.704735012
939	1.704656877
940	1.704578966
941	1.704501007
942	1.70442297
943	1.704344967
944	1.704267127
945	1.704189258
946	1.704111411
947	1.704033602
948	1.70395847
949	1.703880846
950	1.703803125
951	1.70372984
952	1.703652433
953	1.703574961
954	1.703497405
955	1.703419912
956	1.703342652
957	1.703265361
958	1.703188068
959	1.703110913
960	1.703033741
961	1.70295669
962	1.702879665
963	1.702802669
964	1.702725606
965	1.702648647
966	1.702571727
967	1.702494819
968	1.70241801
969	1.702341142
970	1.702264365
971	1.702187641
972	1.70211462
973	1.702037945
974	1.701961159
975	1.701889203
976	1.701812625
977	1.701735932
978	1.701659363
979	1.701582719
980	1.701506126
981	1.701429681
982	1.701353277
983	1.70127677
984	1.701200279
985	1.701123995
986	1.701047513
987	1.700971107
988	1.700451064
989	1.700379192
990	1.70000566
991	1.699929247
992	1.699852913
993	1.699776742
994	1.6997032
995	1.699627229
996	1.699551103
997	1.699474897
998	1.699398736
999	1.699325003
